"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
312, -9.369065729286085e+00, -1.008856374635655e+02, -3.664812038236179e-01, -7.329624076472359e-01, 5.437929043539534e-06, 1.037340443995849e-06, 0.000000000000000e+00
313, -8.751152948763648e+00, -1.007717832735397e+02, -3.863893245546399e-01, -7.727786491092797e-01, 5.425929167407395e-06, 9.645512104768913e-07, 0.000000000000000e+00
314, -8.131858259744021e+00, -1.006657027896066e+02, -4.128054345946218e-01, -8.256108691892435e-01, 5.797675689720580e-06, 9.556409964393148e-07, 0.000000000000000e+00
315, -7.511279456037688e+00, -1.005674127631043e+02, -4.293905567055855e-01, -8.587811134111709e-01, 6.039069838562375e-06, 9.176363963025528e-07, 0.000000000000000e+00
316, -6.889514534231733e+00, -1.004769287151674e+02, -4.373980731384950e-01, -8.747961462769901e-01, 5.810541212472952e-06, 8.083466371632241e-07, 0.000000000000000e+00
317, -6.266661678215037e+00, -1.003942649342761e+02, -4.541751399249889e-01, -9.083502798499778e-01, 5.647561480113343e-06, 7.134529315187385e-07, 0.000000000000000e+00
318, -5.642819243673903e+00, -1.003194344739996e+02, -4.789629695557897e-01, -9.579259391115794e-01, 5.828478994151505e-06, 6.620104477741651e-07, 0.000000000000000e+00
319, -5.018085742560557e+00, -1.002524491509350e+02, -4.976533178308797e-01, -9.953066356617595e-01, 5.973726978635090e-06, 6.025758790094247e-07, 0.000000000000000e+00
320, -4.392559827536966e+00, -1.001933195428414e+02, -5.074961484885315e-01, -1.014992296977063e+00, 5.820737920105171e-06, 5.133435780060221e-07, 0.000000000000000e+00
321, -3.766340276396438e+00, -1.001420549869693e+02, -5.171295608784194e-01, -1.034259121756839e+00, 5.724484222111568e-06, 4.324357027089145e-07, 0.000000000000000e+00
322, -3.139525976465465e+00, -1.000986635785864e+02, -5.287791993380965e-01, -1.057558398676193e+00, 5.824211343236157e-06, 3.664283186746230e-07, 0.000000000000000e+00
323, -2.512215908988269e+00, -1.000631521696991e+02, -5.338206377358290e-01, -1.067641275471658e+00, 5.730202427235126e-06, 2.882742168336849e-07, 0.000000000000000e+00
324, -1.884509133496513e+00, -1.000355263679705e+02, -5.368586825277116e-01, -1.073717365055423e+00, 5.388760070392951e-06, 2.032477645150611e-07, 0.000000000000000e+00
325, -1.256504772166654e+00, -1.000157905358350e+02, -5.464000095073137e-01, -1.092800019014627e+00, 5.239016849124072e-06, 1.316985852722273e-07, 0.000000000000000e+00
326, -6.283019941674056e-01, -1.000039477898092e+02, -5.627318304041200e-01, -1.125463660808240e+00, 5.387590344332207e-06, 6.770602092486768e-08, 0.000000000000000e+00
327, 2.300852181734145e-13, -1.000000000000000e+02, -5.718099924629646e-01, -1.143619984925929e+00, 5.392972258339850e-06, 0.000000000000000e+00, 0.000000000000000e+00
328, 6.283019941678658e-01, -1.000039477898092e+02, -5.768457949998823e-01, -1.153691589999765e+00, 5.157603102555515e-06, -6.481576386949129e-08, 0.000000000000000e+00
329, 1.256504772167115e+00, -1.000157905358350e+02, -5.847627788582943e-01, -1.169525557716589e+00, 5.044795089559470e-06, -1.268162320179480e-07, 0.000000000000000e+00
330, 1.884509133496973e+00, -1.000355263679705e+02, -5.937857048146059e-01, -1.187571409629212e+00, 5.099948192594693e-06, -1.923546522291705e-07, 0.000000000000000e+00
331, 2.512215908988729e+00, -1.000631521696991e+02, -6.028256773476329e-01, -1.205651354695266e+00, 5.230280021402153e-06, -2.631241908356248e-07, 0.000000000000000e+00
332, 3.139525976465925e+00, -1.000986635785865e+02, -6.078324622148269e-01, -1.215664924429654e+00, 5.155969098261478e-06, -3.243860801873272e-07, 0.000000000000000e+00
333, 3.766340276396897e+00, -1.001420549869693e+02, -6.117563287252836e-01, -1.223512657450567e+00, 4.954786667124679e-06, -3.742916516208208e-07, 0.000000000000000e+00
334, 4.392559827537425e+00, -1.001933195428414e+02, -6.154831826574257e-01, -1.230966365314851e+00, 4.863468563597351e-06, -4.289199046968534e-07, 0.000000000000000e+00
